stratum_bmv2 -device_id=1 -chassis_config_file=/tmp/p4_sw_1/chassis-config.txt -forwarding_pipeline_configs_file=/tmp/p4_sw_1/pipe.txt -persistent_config_dir=/tmp/p4_sw_1 -initial_pipeline=/root/dummy.json -cpu_port=255 -external_stratum_urls=0.0.0.0:50001 -local_stratum_url=localhost:43659 -max_num_controllers_per_node=10 -write_req_log_file=/tmp/p4_sw_1/write-reqs.txt -logtosyslog=false -logtostderr=true -bmv2_log_level=warn

--------------------------------------------------------------------------------

E0628 18:33:00.974565    44 main.cc:121] Starting bmv2 simple_switch and waiting for P4 pipeline
W0628 18:33:00.998718    44 credentials_manager.cc:45] Using insecure server credentials
I0628 18:33:01.003644    44 timer_daemon.cc:90] The timer daemon has been started.
I0628 18:33:01.004426    44 hal.cc:128] Setting up HAL in COLDBOOT mode...
I0628 18:33:01.005213    44 config_monitoring_service.cc:90] Pushing the saved chassis config read from /tmp/p4_sw_1/chassis-config.txt...
I0628 18:33:01.024233    44 bmv2_chassis_manager.cc:476] Registered port status callbacks successfully for node 1.
I0628 18:33:01.024260    44 bmv2_chassis_manager.cc:61] Adding port 1 to node 1
I0628 18:33:01.024971    44 bmv2_chassis_manager.cc:61] Adding port 2 to node 1
I0628 18:33:01.031368    44 p4_service.cc:119] Pushing the saved forwarding pipeline configs read from /tmp/p4_sw_1/pipe.txt...
E0628 18:33:01.031424    44 utils.cc:109] StratumErrorSpace::ERR_FILE_NOT_FOUND: /tmp/p4_sw_1/pipe.txt not found.
E0628 18:33:01.031615    44 utils.cc:65] Return Error: ReadFileToString(filename, &text) failed with StratumErrorSpace::ERR_FILE_NOT_FOUND: /tmp/p4_sw_1/pipe.txt not found.
W0628 18:33:01.031623    44 p4_service.cc:128] No saved forwarding pipeline config found at /tmp/p4_sw_1/pipe.txt. This is normal when the switch is just installed and no master controller is connected yet.
E0628 18:33:01.040099198      44 server_chttp2.cc:40]        {"created":"@1656441181.040079125","description":"Only 1 addresses added out of total 2 resolved","file":"external/com_github_grpc_grpc/src/core/ext/transport/chttp2/server/chttp2_server.cc","file_line":406,"referenced_errors":[{"created":"@1656441181.040077556","description":"Address family not supported by protocol","errno":97,"file":"external/com_github_grpc_grpc/src/core/lib/iomgr/socket_utils_common_posix.cc","file_line":420,"os_error":"Address family not supported by protocol","syscall":"socket","target_address":"[::1]:43659"}]}
E0628 18:33:01.040206    44 hal.cc:223] Stratum external facing services are listening to 0.0.0.0:50001, localhost:43659...
I0628 18:33:01.205668    79 bmv2_chassis_manager.cc:409] State of port 1 in node 1: UP.
I0628 18:33:01.205724    79 bmv2_chassis_manager.cc:409] State of port 2 in node 1: UP.
